OBJECTID,Lease or Claim Name,Lease or Claim Type,Commodity,Stock Raising Homestead Act,MLRS Casefile Number,Casefile Number,Case Type,BLM Administrative Unit,GIS Acres,GLOBALID,Shape__Area,Shape__Length
3050,BLUE STARLIGHT,PlacerClaim,UN,U,OR101472010,ORMC155888,384201,ORW00,161.96099328,8450b7fb-760d-439d-a3a1-38f4811a0a58,7.87653916631825E-05,0.0362713183376102
3051,LAURA,LodeClaim,UN,U,OR101474031,ORMC155894,384101,ORW00,140.88434584,1d058217-56ab-45a9-ab59-65176633a840,6.76718095746764E-05,0.0340122560276562
3052,V,LodeClaim,UN,U,OR101474032,ORMC155895,384101,ORW00,140.88434584,845772ec-36b3-4f11-869c-37639edcfd09,6.76718095746764E-05,0.0340122560276562
3053,OWYHEE BLUE,LodeClaim,UN,U,OR101472020,ORMC155898,384101,ORV00,160.1837397,d58d0e9b-7bb5-4180-be8c-ee27f23370b1,7.21570841051289E-05,0.0344063084961794
3054,WINDY RIDGE #1,LodeClaim,UN,U,OR101472021,ORMC155899,384101,ORV00,476.3256687,ffb9e7d7-ae23-4cf9-9242-c133d9571646,0.000213915914173413,0.0683795602368309
3055,DAW-FISK GROUP #4,LodeClaim,UN,U,OR101654313,ORMC157719,384101,ORV00,110.67067832,b35eed98-8c10-4970-a891-1687baa7e3af,5.11701578034263E-05,0.0295776985445166
3056,DAW-FISK GROUP #5,LodeClaim,UN,U,OR101654314,ORMC157720,384101,ORV00,449.68554871,9141df14-8c0b-4c06-9057-76a33279894c,0.000207899715405802,0.0648831343575145
3057,DAW-FISK GROUP #6,LodeClaim,UN,U,OR101654315,ORMC157721,384101,ORV00,395.77101631,a51e556e-0a76-4df1-87c4-e2624015fe0b,0.000182980669706012,0.0664703215589755
3058,LODE CLAIM,LodeClaim,UN,U,OR101654845,ORMC157722,384101,ORV00,313.66159872,38aa93fd-b845-4a53-a550-784498cd9170,0.000144980708682851,0.0491472811605139
3059,EUREKA GROUP #2,LodeClaim,UN,U,OR101654846,ORMC157723,384101,ORV00,156.37651549,bcec0f0f-3228-4f05-bebb-d80f5041c367,7.22848567420442E-05,0.0346202307030626
3060,EUREKA GROUP #3,LodeClaim,UN,U,OR101654847,ORMC157724,384101,ORV00,322.38918945,39208c0a-3707-4feb-aabb-af271ec2bdd5,0.000149033685374889,0.0500285033478528
3061,LODE CLAIM,LodeClaim,UN,U,OR101654848,ORMC157725,384101,ORV00,317.96556002,41c37549-3e5c-476d-919b-6d42f62871d9,0.000147006805491401,0.0497973192339327
3062,FIIM #2,LodeClaim,UN,U,OR101654849,ORMC157726,384101,ORV00,160.60916606,a4932b79-3892-44d3-9ee1-ad799377c9f8,7.4260157362005E-05,0.0350310422573508
3063,LODE CLAIM,LodeClaim,UN,U,OR101654850,ORMC157727,384101,ORV00,340.24819543,d8c3b183-a567-4f43-8e2d-6db37dcfcbd1,0.000157319580466719,0.0546309881235317
3064,LODE CLAIM,LodeClaim,UN,U,OR101654851,ORMC157728,384101,ORV00,618.99580934,9c7096e1-edbe-489b-b54f-d9cf788e668b,0.00028618658097912,0.0788315435900967
3065,LODE CLAIM,LodeClaim,UN,U,OR101654852,ORMC157729,384101,ORV00,301.03024932,a1396eda-62f8-4d85-b9d6-223b2ddf08d8,0.000139179775487719,0.0571275970173723
3066,FIIM #6,LodeClaim,UN,U,OR101654853,ORMC157730,384101,ORV00,179.63899304,8fb996e6-7e06-4cc0-b4e8-b4d17f31e84e,8.30594231047144E-05,0.0365675356391062
3067,FIIM #7,LodeClaim,UN,U,OR101654854,ORMC157731,384101,ORV00,179.63899304,47316342-829d-4339-97d3-be09dc859545,8.30594231047144E-05,0.0365675356391062
3068,LODE CLAIM,LodeClaim,UN,U,OR101654855,ORMC157732,384101,ORV00,301.03024932,5251a26f-9ae4-4934-a33d-3fb8ecba268e,0.000139179775487719,0.0571275970173723
3069,AA 131,LodeClaim,UN,U,OR101880953,ORMC158281,384101,ORL00,317.91894024,50c1fb82-f1bc-44d2-89f6-462491b104b2,0.00014047522608962,0.0602817391007632
3070,LODE CLAIM,LodeClaim,UN,U,OR101880954,ORMC158282,384101,ORL00,319.59127026,339cb038-1e10-4ac5-9ba0-0d8b9b5b059d,0.000141200438065425,0.048545878058449
3071,AA 133,LodeClaim,UN,U,OR101880955,ORMC158283,384101,ORL00,444.34609945,5eb73fb7-47ab-48eb-950e-9f83d2975e70,0.00019633477768366,0.0655180602288864
3072,AA 134,LodeClaim,UN,U,OR101880956,ORMC158284,384101,ORL00,446.01842947,4faf985e-a9d9-4c23-911a-1f1444edeefd,0.000197059989659465,0.0693508904159155
3073,AA 135,LodeClaim,UN,U,OR101880957,ORMC158285,384101,ORL00,285.32054942,ce4c82e1-bde8-4ed2-a8a2-a83934b702c4,0.000126070712212822,0.0509997927727631
3074,AA 136,LodeClaim,UN,U,OR101880958,ORMC158286,384101,ORL00,126.4271641,1088ae64-fd2b-47ef-9380-9d77ca2000a3,5.58595515940397E-05,0.0315488067139029
3075,AA 137,LodeClaim,UN,U,OR101880959,ORMC158287,384101,ORL00,285.32054942,cb48286a-8a26-44ff-b903-bd7f5b2e7bc6,0.000126070712212822,0.0509997927727631
3076,AA 138,LodeClaim,UN,U,OR101880960,ORMC158288,384101,ORL00,126.4271641,125df1ae-85bf-4037-a40c-f5e39cd17646,5.58595515940397E-05,0.0315488067139029
3077,AA 139,LodeClaim,UN,U,OR101880961,ORMC158289,384101,ORL00,444.84402478,ee2367cb-c572-42fd-b6e7-ff4a24b8138b,0.000196559504729521,0.0650550491962688
3078,AA 140,LodeClaim,UN,U,OR101880962,ORMC158290,384101,ORL00,126.4271641,a6215829-a5cb-4105-b574-26f1d73e7c27,5.58595515940397E-05,0.0315488067139029
3079,AA 141,LodeClaim,UN,U,OR101881705,ORMC158291,384101,ORL00,285.95063457,74634fc7-ebcc-4b90-aea5-4745d1b73556,0.000126348344110738,0.0602296129886439
3080,AA 142,LodeClaim,UN,U,OR101881706,ORMC158292,384101,ORL00,126.4271641,334ee6e6-1edb-4b1b-8cdb-a980aab6974f,5.58595515940397E-05,0.0315488067139029
3081,AA 143,LodeClaim,UN,U,OR101881707,ORMC158293,384101,ORL00,161.54543137,4da8ad8d-1d6a-43e1-88ed-d55f01667fa1,7.13697618266451E-05,0.0341801525191763
3082,AA 144,LodeClaim,UN,U,OR101881708,ORMC158294,384101,ORL00,324.20954595,e8b15f97-1686-41c4-9b9c-a3ec75992b76,0.000143225569900096,0.048848687956289
3083,AA 145,LodeClaim,UN,U,OR101881709,ORMC158295,384101,ORL00,161.54543137,f2176b1c-54e4-4805-bbbf-2c955deab2cf,7.13697618266451E-05,0.0341801525191763
